To,Direction,Location,I/O Standard,Reserved
sw[0],Unknown,PIN_N25,,
sw[1],Unknown,PIN_N26,,
sw[2],Unknown,PIN_P25,,
sw[3],Unknown,PIN_AE14,,
rst,Unknown,PIN_V2,,
key[0],Unknown,PIN_G26,,
key[1],Unknown,PIN_N23,,
key[2],Unknown,PIN_P23,,
ledr,Unknown,PIN_AE23,,
hex0[0],Unknown,PIN_AF10,,
hex0[1],Unknown,PIN_AB12,,
hex0[2],Unknown,PIN_AC12,,
hex0[3],Unknown,PIN_AD11,,
hex0[4],Unknown,PIN_AE11,,
hex0[5],Unknown,PIN_V14,,
hex0[6],Unknown,PIN_V13,,
hex1[0],Unknown,PIN_V20,,
hex1[1],Unknown,PIN_V21,,
hex1[2],Unknown,PIN_W21,,
hex1[3],Unknown,PIN_Y22,,
hex1[4],Unknown,PIN_AA24,,
hex1[5],Unknown,PIN_AA23,,
hex1[6],Unknown,PIN_AB24,,
hex2[0],Unknown,PIN_AB23,,
hex2[1],Unknown,PIN_V22,,
hex2[2],Unknown,PIN_AC25,,
hex2[3],Unknown,PIN_AC26,,
hex2[4],Unknown,PIN_AB26,,
hex2[5],Unknown,PIN_AB25,,
hex2[6],Unknown,PIN_Y24,,
hex3[0],Unknown,PIN_Y23,,
hex3[1],Unknown,PIN_AA25,,
hex3[2],Unknown,PIN_AA26,,
hex3[3],Unknown,PIN_Y26,,
hex3[4],Unknown,PIN_Y25,,
hex3[5],Unknown,PIN_U22,,
hex3[6],Unknown,PIN_W24,,
hex4[0],Unknown,PIN_U9,,
hex4[1],Unknown,PIN_U1,,
hex4[2],Unknown,PIN_U2,,
hex4[3],Unknown,PIN_T4,,
hex4[4],Unknown,PIN_R7,,
hex4[5],Unknown,PIN_R6,,
hex4[6],Unknown,PIN_T3,,
hex5[0],Unknown,PIN_T2,,
hex5[1],Unknown,PIN_P6,,
hex5[2],Unknown,PIN_P7,,
hex5[3],Unknown,PIN_T9,,
hex5[4],Unknown,PIN_R5,,
hex5[5],Unknown,PIN_R4,,
hex5[6],Unknown,PIN_R3,,
clk,Unknown,PIN_N2,,
sram_addr[0],Unknown,PIN_AE4,,
sram_addr[1],Unknown,PIN_AF4,,
sram_addr[2],Unknown,PIN_AC5,,
sram_addr[3],Unknown,PIN_AC6,,
sram_addr[4],Unknown,PIN_AD4,,
sram_addr[5],Unknown,PIN_AD5,,
sram_addr[6],Unknown,PIN_AE5,,
sram_addr[7],Unknown,PIN_AF5,,
sram_addr[8],Unknown,PIN_AD6,,
sram_addr[9],Unknown,PIN_AD7,,
sram_addr[10],Unknown,PIN_V10,,
sram_addr[11],Unknown,PIN_V9,,
sram_addr[12],Unknown,PIN_AC7,,
sram_addr[13],Unknown,PIN_W8,,
sram_addr[14],Unknown,PIN_W10,,
sram_addr[15],Unknown,PIN_Y10,,
sram_addr[16],Unknown,PIN_AB8,,
sram_addr[17],Unknown,PIN_AC8,,
sram_dq[0],Unknown,PIN_AD8,,
sram_dq[1],Unknown,PIN_AE6,,
sram_dq[2],Unknown,PIN_AF6,,
sram_dq[3],Unknown,PIN_AA9,,
sram_dq[4],Unknown,PIN_AA10,,
sram_dq[5],Unknown,PIN_AB10,,
sram_dq[6],Unknown,PIN_AA11,,
sram_dq[7],Unknown,PIN_Y11,,
sram_dq[8],Unknown,PIN_AE7,,
sram_dq[9],Unknown,PIN_AF7,,
sram_dq[10],Unknown,PIN_AE8,,
sram_dq[11],Unknown,PIN_AF8,,
sram_dq[12],Unknown,PIN_W11,,
sram_dq[13],Unknown,PIN_W12,,
sram_dq[14],Unknown,PIN_AC9,,
sram_dq[15],Unknown,PIN_AC10,,
sram_we_n,Unknown,PIN_AE10,,
sram_oe_n,Unknown,PIN_AD10,,
sram_ub_n,Unknown,PIN_AF9,,
sram_lb_n,Unknown,PIN_AE9,,
sram_ce_n,Unknown,PIN_AC11,,
